TESTID,WellID,DepthMD,DepthTVDSS,Temp,GR,Resist_deep,Resist_medium,Resist_short,Density ,Neutron,FluidType,Subblock,Thickness,Reservior,Mobility
392,Well20,1923,1702.578922,86.66666667,52.1659,2.954,,,2.2577,0.225003,W,H,3.094116,b1,2.8
393,Well20,1932,1707.2946,87.22222222,56.3232,3.034,,,2.2728,0.246007,W,H,3.785522,b1,49.8
394,Well20,1939.5,1711.224332,87.22222222,46.5141,3.5881,,,2.3253,0.124011,W,H,0.817749,b1,13
395,Well20,1953,1718.449685,87.77777778,40.6738,2.028,,,2.2168,0.251997,W,H,4.575317,b1,91.4
396,Well20,2018,1753.871387,87.77777778,45.71,2.036,,,2.251,0.255996,W,K,4.610107,b3,173.2
398,Well20,2046.5,1769.854166,88.33,66.1945,3.5761,,,2.3071,0.238002,W,K,1.024048,b3,41.2
399,Well20,2059,1776.840368,88.88888889,48.8262,3.51,,,2.3505,0.228013,W,K,2.036865,b3,4.3
400,Well20,2076,1786.272702,88.88888889,64.1336,2.583,,,2.3434,0.156995,W,K,1.937866,b3,69.1
401,Well20,2110,1805.299941,89.44444444,63.2132,3.0181,,,2.2922,0.214006,W,K,3.744141,b3,8.1
402,Well20,2146,1826.483187,88.88888889,58.2811,2.379,,,2.297,0.250004,W,K,3.02124,b4,5.7
403,Well20,2171,1841.449737,88.88888889,62.8514,1.762,,,2.241,0.283002,W,K,4.547852,b4,136.6
405,Well20,2179,1846.197066,89.44,47.0927,2.109,,,2.2381,0.242993,W,K,1.086426,b4,100.8
406,Well20,2200,1858.623577,89.44444444,53.3972,2.195,,,2.2912,0.255004,W,K,4.754028,b4,8.5
409,Well20,2252,1888.930235,90,48.2169,2.407,,,2.2451,0.255999,W,K,1.931885,b4,78.5
410,Well20,2269,1898.632284,90,49.5852,3.606,,,2.2506,0.272998,O?,K,3.815796,b4,173.2
411,Well20,2272.5,1900.629764,90,43.0852,3.81,,,2.3028,0.218998,O?,K,3.815796,b4,433
412,Well20,2276.5,1902.912599,89.44444444,39.9587,2.4269,,,2.253,0.241001,W,K,3.451294,b4,16.9
413,Well20,2298,1915.067164,88.33333333,61.5378,11.005,,,2.2198,0.259988,O,K,0.773682,b4,24.6
415,Well21,2250.5,1837.992969,89.1,105.393,3.41,3.53,3.85,2.514,0.251,W,I,3.46936,b3,0.68
416,Well21,2268,1853.512843,84.2,75.543,5.61,5.814,6.196,2.513,0.162,W,I,1.551514,b3,1.44
417,Well21,2290,1872.695524,85.2,117.219,2.424,2.455,2.554,2.51,0.326,W,I,1.990723,b3,3.28
419,Well21,2332,1908.303056,86.6,132.068,3.117,3.103,3.194,2.542,0.289,O,I,0.6203615,b3,0.6
423,Well21,2376.5,1944.145317,87.9,84.835,9.243,9.263,8.885,2.392,0.214,O,I,5.112793,b4,72.54
427,Well21,2432,1985.873915,88.5,84.888,7.476,7.261,7.148,2.508,0.163,O,I,6.9104,b4,168.97
428,Well21,2447.5,1996.925655,88.6,45.405,27.514,33.592,45.262,2.203,0.229,O,I,7.369751,b4,148.6
433,Well21,2702.8,2166.537024,98.2,,,,,,,O,I,2.875977,c1,9.91
434,Well21,2703.57,2167.030269,97.4,,,,,,,O,I,2.875977,c1,12.01
436,Well21,2714.5,2174.034292,98.5,,,,,,,O,I,3.775146,c1,0.46
437,Well21,2717,2175.636749,98.7,,,,,,,O,I,3.775146,c1,78.26
438,Well21,2760.5,2203.670353,99,,,,,,,O,I,1.169678,c2,58.39
439,Well21,2769.5,2209.525423,99.4,,,,,,,O,I,1.30542,c2,21.46
440,Well21,2772,2211.167374,99.7,,,,,,,O?,I,1.111084,c2,106
441,Well21,2779.8,2216.290262,100.1,,,,,,,W,I,1.115723,c2,63.89
442,Well21,2790.5,2223.317814,100.4,,,,,,,O,I,1.122559,c2,123.09
443,Well21,2798.2,2228.376613,101,,,,,,,O?,I,0.462891,c2,44.2
450,Well21,3013.2,2368.157846,108.3,,,,,,,O,I,,c2,0.53
451,Well21,3030,2378.995573,108.5,,,,,,,O,I,,c2,0.46
452,Well21,3076.5,2408.9874,108.8,,,,,,,O,I,,c2,41.7
454,Well21,3109.4,2430.207305,110.4,,,,,,,O,I,,c2,87.42
457,Well21,3147.49,2454.707104,110.7,,,,,,,O,I,,c2,0.11
458,Well21,3149.5,2456.002607,110.8,,,,,,,O,I,,c2,0.62
459,Well22,2429.31,1915.377144,87.5,53.366,29.925,31.854,36.131,2.249,0.216,O,I,2.313599,b4,37.16
461,Well22,2523.2,1978.016081,91.7,42.195,38.033,48.17,62.158,2.202,0.211,O,I,2.889893,b4,216.88
464,Well22,2783.5,2153.125426,98.1,39.229,23.786,30.645,54.389,2.275,0.199,O,I,2.01001,c1,33.35
466,Well22,2834.49,2187.276174,101.53,39.876,18.765,24.832,37.561,2.325,0.195,O,I,1.662598,c2,1.15
467,Well22,2841.11,2191.685295,101.7,42.927,8.527,8.594,9.49,2.256,0.253,O?,I,1.589111,c2,81.13
475,Well22,2947.2,2262.002207,104.8,46.105,13.921,20.177,36.134,2.169,0.252,O,I,1.650879,c2,1.79
477,Well22,3096,2359.028755,108.8,39.513,8.253,9.414,11.661,2.278,0.189,W,I,1.359375,c2,11.15
478,Well22,3131.01,2381.637602,110,38.588,7.15,7.269,7.912,2.236,0.21,W,I,1.287598,c2,0.68
486,Well22,3336.5,2518.534285,114.3,38.912,21.298,28.51,46.052,2.357,0.173,O,I,1.999512,c3,1.86
491,Well23,2128,1667.038094,82.4,28.077,121.552,119.457,117.215,2.107,0.261,O,D,8.210327,b3,282.55
492,Well23,2159.2,1686.594997,84,46.193,9.389,9.561,10.181,2.238,0.251,O,D,3.885864,b3,27.09
493,Well23,2174.3,1696.070061,84.7,56.74,8.014,8.106,8.394,2.3,0.229,O,D,4.269043,b3,27.79
494,Well23,2198,1710.996864,85.4,46.606,16.558,16.82,18.475,2.24,0.251,O,D,4.353516,b3,116.23
495,Well23,2239.3,1737.135623,87,38.064,16.636,16.794,17.4,2.263,0.25,O,D,3.481323,b4,182.28
496,Well23,2248.4,1742.908913,87.2,54.922,12.93,13.318,14.84,2.297,0.259,O,D,3.420288,b4,11.69
497,Well23,2263,1752.176953,87.2,50.112,44.118,42.733,42.11,2.176,0.273,O,D,6.036133,b4,348.27
500,Well23,2324,1791.306366,87.9,42.48,2.286,2.409,2.754,2.211,0.268,W,D,17.723145,b4,2.87
506,Well23,2739,2076.841113,97.8,49.886,5.818,6.001,6.536,2.301,0.225,W,G,0.987549,c2,17.53
508,Well24,2434.8,2063.277959,91.6,43.84,4.48,4.517,0.0347,2.392,0.187,W,K,4.778076,b3,18.05
510,Well24,2617.2,2183.611208,97.7,48.237,66.538,66.204,0.0589,2.286,0.187,G,K,2.113281,c1,25.78
511,Well24,2618.4,2184.429995,105.7,38.738,47.223,47.293,,2.262,0.225,G,K,2.113281,c1,16.04
512,Well24,2637.5,2197.462364,98.4,42.298,39.75,40.1,,2.35,0.174,G,K,1.706543,c1,3.46
513,Well24,2640.5,2199.509333,99.3,58.239,29.054,29.261,0.2407,2.357,0.164,G,K,1.433838,c1,49.21
515,Well24,2729.4,2261.32656,101.4,44.451,34.66,34.802,0.0255,2.413,0.173,O,K,2.4729,c2,76.58
517,Well24,2739.5,2268.444092,102.2,51.817,25.212,25.293,0.1547,2.384,0.212,O,K,0.775879,c2,0.38
518,Well24,2746,2273.022215,102.6,47.43,23.276,23.392,0.0777,2.286,0.226,O,K,1.056396,c2,0.45
520,Well24,2801.6,2312.150333,103.7,55.075,7.191,7.232,0.2118,2.372,0.184,W,K,1.056641,c2,14.35
521,Well24,2818.8,2324.267246,103.9,41.93,8.453,8.521,,2.344,0.181,W,K,1.197998,c2,30.11
523,Well24,2871.5,2361.501452,105.6,44.48,44.56,44.756,0.026,2.403,0.151,O,K,0.778076,c2,18.53
525,Well24,2898.5,2380.61344,106.4,44.357,51.691,51.524,0.0238,2.287,0.204,O,K,3.329102,c2,19.36
527,Well24,2939,2409.299056,107.6,36.818,70.971,71.48,,2.309,0.214,O?,K,1.416504,c2,14.28
530,Well24,3119.5,2538.081091,111,38.447,131.392,131.572,,2.34,0.178,G,K,0.871582,c2,15.49
532,Well25,1812.5,1694.860486,78.5,,,,,,,O,K,6.154419,a,11.52
533,Well25,1867,1738.131945,82.2,,,,,,,O,K,4.442627,a,3.16
535,Well25,1890.5,1755.89345,83,,,,,,,W,K,1.48584,a,55.06
536,Well25,1912,1771.425221,83.5,,,,,,,O,D,2.700806,b3,21.01
537,Well25,1992,1824.98841,84.2,,,,,,,O,D,1.699707,b4,0.84
538,Well25,2004,1832.835001,84.5,,,,,,,O,D,2.740723,b4,210.33
541,Well26,2796.7,2275.10151,94.77,51.1415,24.4559,28.2812,28.8521,2.4079,0.20618,O,K,1.067383,c1,33.89
543,Well26,2803.7,2280.002706,97.83,44.1202,38.269,44.2848,44.3994,2.3406,0.19862,O,K,2.675049,c1,2.88
545,Well26,2879.5,2333.988647,96.39,51.6794,8.9572,10.1397,11.5499,2.3668,0.21095,O?,K,0.758789,c2,6.32
547,Well26,2887.2,2339.46519,100.18,76.349,6.8374,7.3358,8.0823,2.4028,0.25648,W,K,0.541748,c2,15.98
553,Well26,2919.2,2362.044873,104.78,55.2848,18.5826,22.8133,22.824,2.2768,0.24276,O,K,1.172607,c2,88.22
554,Well26,2925.8,2366.685174,104.94,56.0439,18.4524,26.1961,26.5501,2.3177,0.20582,O,K,1.060791,c2,27.37
555,Well26,2935,2373.084131,105.1,58.0998,15.366,19.4311,21.2419,2.3355,0.19997,O,K,0.63623,c2,37.86
559,Well26,3051.2,2452.986503,107.28,48.7383,29.9443,38.4504,36.1245,2.3263,0.23883,O,K,0.935303,c2,4.15
561,Well26,3090,2478.987028,109.34,49.2446,35.9595,39.1529,36.9909,2.3318,0.19919,O,K,0.707031,c2,29.07
562,Well26,3105.8,2489.479356,109.75,44.4685,26.1963,44.5998,36.5622,2.2752,0.15432,O,K,0.910156,c2,34.97
566,Well27,2908,2367.916668,107.99,35.0543,40.2663,59.1307,83.5056,2.249,0.15741,G,K,2.504395,f,263.89
567,Well27,2909.3,2368.808001,108.45,38.1946,35.658,65.55,60.6713,2.2191,0.12258,G,K,2.504395,f,53.21
568,Well27,2978,2416.329941,110.9,40.7142,33.8577,44.5536,39.3475,2.377,0.17021,O,K,0.957031,c2,159
571,Well27,3033.8,2455.43623,112.73,42.449,136.5732,145.1573,82.075,2.4008,0.18142,O,K,2.033447,c2,1.3
577,Well27,3220,2588.466807,113.6,39.5538,21.0396,32.254,44.2017,2.2957,0.18189,O,K,1.998047,c2,13.82
579,Well27,3313.7,2658.416762,117.59,41.7642,9.931,12.3797,11.403,2.4135,0.14318,O,K,0.815918,c2,3.77
580,Well27,3327.3,2668.825202,118.26,52.5817,10.7986,12.5654,14.1955,2.4895,0.17268,O,K,0.468262,c2,0.62
586,Well28,2638.2,1944.668084,90.28,,,,,,,O,I,3.763428,b3,3799.2
587,Well28,2670.3,1967.107689,90.54,,,,,,,O,I,2.95752,b4,12.1
588,Well28,2685.5,1977.618588,90.64,,,,,,,O,I,2.734497,b4,501.87
589,Well28,2696.5,1985.205105,91.01,,,,,,,O,I,2.203857,b4,54.64
590,Well28,2704.6,1990.78542,91.19,,,,,,,O,I,2.200684,b4,74.64
591,Well28,2713.5,1996.889765,91.45,,,,,,,O,I,2.824341,b4,1247.83
592,Well28,2723,2003.405639,86.39,,,,,,,O,I,9.394165,b4,99.46
593,Well28,2727.5,2006.492106,87.88,,,,,,,O,I,9.394165,b4,42.02
594,Well28,2731,2008.892691,88.9,,,,,,,O,I,9.394165,b4,120.52
595,Well28,2743,2017.074911,89.44,,,,,,,O,I,1.559448,b4,340.86
596,Well28,2746.5,2019.460571,89.8,,,,,,,O,I,2.181152,b4,222.74
597,Well28,2750.5,2022.187039,90.25,,,,,,,O,I,2.178711,b4,855.66
598,Well28,2758.5,2027.639976,90.61,,,,,,,O,I,4.558716,b4,204.67
599,Well28,2764.7,2031.85103,92.44,,,,,,,O,I,1.345093,b4,159.36
600,Well28,2773.5,2037.818834,90.81,,,,,,,O,I,4.961548,b4,1618.99
601,Well28,2789,2048.330377,92.12,,,,,,,O,I,4.645508,b4,799.13
602,Well28,2796,2053.090047,92.13,,,,,,,O,I,2.792236,b4,175.05
605,Well29,2580.5,2055.931616,90.43,44.1468,10.626,12.9112,15.3457,2.2031,0.24244,O,I,2.710693,b3,11.35
607,Well29,2595.6,2067.613274,95.17,44.4086,6.0634,6.0096,6.3866,2.3311,0.20243,W,I,1.178955,b3,25.85
608,Well29,2625.7,2090.868154,95.49,48.5693,4.6498,4.8059,5.9336,2.3259,0.20096,W,I,7.054443,b4,59.12
609,Well29,2647.3,2107.508726,96.03,44.6181,3.845,3.8105,4.4649,2.2977,0.22905,W,I,5.861328,b4,78.63
612,Well29,2733.1,2173.275938,97.15,37.9186,2.8153,2.7129,3.1229,2.2461,0.23345,W,I,6.528809,b4,148.15
614,Well29,2789.2,2216.201273,97.7,33.4961,3.1579,2.9898,3.304,2.2795,0.19502,W,I,15.504639,b4,696.25
615,Well29,2813.4,2234.681211,97.86,43.9899,4.5565,4.2816,4.6798,2.3343,0.21899,W,I,3.137695,b4,54.36
617,Well29,2830,2247.327538,97.81,33.6269,4.4953,4.1117,4.3364,2.3181,0.19357,W,I,5.685547,b4,87.31
620,Well29,2869.9,2277.651653,96.21,55.5563,23.3588,25.7367,27.4253,2.3162,0.21514,O,I,4.96875,b4,8.74
623,Well30,1813.2,1711.854397,76.76,63.0547,3.1203,3.1052,3.4113,2.345,0.25064,W,D,1.960693,b3,43.09
624,Well30,1819.6,1717.737303,85.55,45.7401,2.7844,2.9333,3.3093,2.3043,0.27139,W,D,0.840698,b3,38.85
625,Well30,1835.1,1731.991264,78.31,47.1599,12.7838,12.7215,13.676,2.1992,0.29544,O,D,4.207397,b3,822.07
627,Well30,1881.3,1774.527773,81.44,53.0548,2.2504,2.3303,2.7506,2.2517,0.28227,W,D,4.209839,b4,51.09
628,Well30,1890.3,1782.815916,82.32,51.8203,2.3027,2.4379,2.874,2.2575,0.25014,W,D,1.824219,b4,209.48
631,Well30,1917.6,1807.962134,84.28,49.1352,2.7825,2.9797,3.4854,2.2632,0.27524,W,D,2.668091,b4,186.39
633,Well30,1958.4,1845.602751,84.66,55.802,1.5912,1.6686,2.0613,2.2405,0.27732,W,D,5.206543,b4,495.32
634,Well30,1962,1848.927156,84.88,51.2646,1.7478,1.8178,2.0236,2.2476,0.24483,W,D,5.911865,b4,256.19
635,Well30,1976.4,1862.227482,85.17,51.0487,1.8785,1.9259,2.2318,2.2632,0.24854,W,D,6.055664,b4,812.71
636,Well30,1985,1870.179149,85.52,50.1845,1.5871,1.6028,1.86,2.2342,0.25407,W,D,7.045166,b4,904.99
637,Well30,1995.7,1880.072502,86.13,43.919,1.8044,1.8606,1.9973,2.26,0.288,W,D,1.409668,b4,289.87
639,Well30,2017,1899.771044,86.44,46.0178,4.3148,4.4352,4.8654,2.2836,0.23816,W,D,10.711426,b4,68.22
640,Well30,2024.4,1906.615389,86.58,49.9067,1.9431,1.9627,2.2841,2.2679,0.23763,W,D,10.711426,b4,309.91
642,Well31,1863.8,1704.509637,81.86,45.0321,3.0768,3.2736,3.871,2.2882,0.24153,W,D,5.177612,b3,36.82
643,Well31,1873,1712.959661,81.94,50.0391,2.8393,2.9523,3.2448,2.309,0.23579,W,D,2.379517,b3,169.82
644,Well31,1891.5,1729.954621,82.04,40.8405,3.5772,3.8371,4.9064,2.2305,0.23419,O?,D,5.741577,b3,277.95
645,Well31,1895,1733.172675,82.18,32.0786,2.6248,2.7284,3.2002,2.2031,0.25795,W,D,2.521118,b3,1148.9
647,Well31,1946.8,1780.824742,83.31,45.9347,2.4007,2.4303,2.9906,2.27,0.25164,W,D,6.453003,b4,96.07
649,Well31,1977.5,1809.093207,83.74,45.1196,2.9089,3.0077,3.5449,2.2666,0.24509,W,D,2.94812,b4,315.57
652,Well31,2022.4,1850.497452,85.26,55.104,1.9976,2.0974,2.4648,2.2688,0.25142,W,D,5.483887,b4,70.23
653,Well31,2028.7,1856.310079,85.56,43.3148,1.8407,1.883,2.2192,2.2634,0.26692,W,D,3.515381,b4,281.32
654,Well31,2048.5,1874.593883,85.74,37.0271,1.4837,1.5689,1.966,2.204,0.28061,W,D,3.659912,b4,826.52
656,Well31,2075,1899.097678,86.71,39.6178,1.9011,2.0179,2.4007,2.2779,0.2375,W,D,7.192505,b4,1175.28
658,Well31,2093.1,1915.856328,87.06,44.2752,1.4411,1.4961,1.8635,2.2471,0.25956,W,D,4.662109,b4,1092.82
659,Well31,2099.6,1921.88387,87.21,54.2593,1.8993,1.9585,2.1582,2.2688,0.26463,W,D,0.706543,b4,1307.24
661,Well32,1830.5,1599.91787,77.09,39.2306,2.6082,2.8269,3.7269,2.2026,0.26021,W,K,4.160767,b1,320.83
663,Well32,1861.5,1621.133277,79.21,45.9307,2.376,2.6156,3.6766,2.2057,0.2449,W,K,5.440674,b1,245.44
664,Well32,1909.3,1653.856192,80.84,57.027,22.7073,25.46,33.0347,2.2415,0.26854,O,S,4.050049,b3,429.6
667,Well32,1965.7,1692.285655,73.45,50.5388,21.4226,25.5913,33.3834,2.1852,0.25167,O,S,5.73877,b3,432.78
668,Well32,1984.8,1705.393452,83.97,56.9666,6.1733,6.4866,8.0853,2.2951,0.2403,W,S,3.261597,b3,82.52
671,Well32,2080,1770.909459,85.71,44.5664,1.4828,1.6054,2.3487,2.2028,0.26341,W,S,7.095337,b4,1020.31
673,Well32,2135.2,1808.956176,86.79,42.0503,2.1185,2.1609,2.435,2.1979,0.26743,W,S,2.314941,b4,2248.83
674,Well32,2404.8,1998.511502,90.6,50.8732,36.1482,35.9459,33.7798,2.3022,0.16172,O,G,0.654785,f,254.14
675,Well32,2411.9,2003.588201,92.27,54.0866,16.1675,19.6867,21.8703,2.4544,0.1338,O,G,0.657471,f,4.09
676,Well32,2421,2010.137988,92.94,58.6645,15.1844,19.2781,20.8144,2.337,0.17137,O,G,0.77063,f,39.37
677,Well32,2424,2012.313956,93.41,57.5733,23.8964,25.2546,31.7778,2.314,0.18031,O?,G,1.653564,f,38.26
678,Well32,2425,2013.039278,93.89,55.3602,45.9197,48.3688,53.4529,2.21,0.13508,O?,G,1.653564,f,244.65
679,Well32,2426.9,2014.417391,94.42,72.1559,15.7274,16.6716,17.0179,2.3085,0.23071,O,G,0.551758,f,37.56
680,Well32,2435.8,2020.872763,95.06,66.3353,11.5016,13.4265,14.5506,2.3762,0.20167,O,G,0.775269,f,0.7
683,Well32,2498.9,2066.912318,96.59,63.3641,8.9653,11.1815,12.7989,2.437,0.15396,O,G,0.993652,c2,8.63
684,Well32,2504.1,2070.692794,96.9,80.4936,11.8859,11.5883,11.2477,2.4858,0.1827,O,G,1.43042,c2,1.27
685,Well32,2509.5,2074.538587,97.08,59.9684,32.9252,33.1732,35.7164,2.2694,0.16982,O,G,1.97168,c2,51.06
689,Well32,2575.2,2120.395151,98.61,57.3311,21.0926,26.2469,27.6237,2.3833,0.18447,O,G,0.623779,c2,203.29
690,Well32,2595.2,2133.9117,98.94,50.1458,35.8079,36.0238,45.0589,2.3212,0.22629,O,G,0.918457,c2,8.6
691,Well32,2615.5,2147.259009,100.17,52.7833,23.0441,31.3696,32.3595,2.2692,0.24616,O,G,0.686035,c2,7.54
692,Well32,2623,2152.147354,100.46,66.8506,31.0529,32.6912,31.4913,2.3131,0.2305,O,G,1.269043,c2,12.18
693,Well32,2642.7,2164.881077,100.55,44.3549,44.5362,57.9628,41.5852,2.3255,0.19493,O,G,1.686768,c2,37.7
694,Well32,2656.1,2173.643039,101.03,63.6675,16.4264,18.7181,20.9595,2.4138,0.17529,O,G,0.801514,c2,8.39
695,Well32,2661.8,2177.403248,92.79,51.9948,41.9926,48.9784,55.9354,2.3437,0.19325,O,G,2.713135,c2,35.04
696,Well32,2666,2180.173928,101.11,45.1428,18.3726,22.2532,29.9384,2.3256,0.19099,O,G,1.00708,c2,177.63
697,Well32,2672,2184.132043,101.77,51.358,10.8164,12.2658,15.7943,2.3703,0.19257,O,G,1.313965,c2,15.34
699,Well32,2695.5,2199.82461,102.17,55.9965,11.9659,13.3423,17.5414,2.3579,0.19644,O,G,1.125488,c2,5.45
700,Well32,2712.8,2211.476652,102.3,56.0573,6.6699,7.2276,9.1305,2.3523,0.20421,W,G,1.237793,c2,25.94
701,Well32,2714.5,2212.630924,102.39,62.3332,7.2873,8.4754,11.0169,2.4174,0.19745,W,G,0.928955,c2,31.13
703,Well32,2874,2323.073152,108.31,42.4139,34.5687,53.5422,64.7208,2.3202,0.17731,O,G,0.951416,c3,25.64
704,Well32,2891.8,2335.461169,108.51,47.4772,47.7725,38.2552,65.874,2.3532,0.19401,O,G,0.852051,c3,4.93
705,Well32,2899.4,2340.774421,108.76,55.3596,42.4284,40.6383,37.7178,2.3508,0.194,O,G,2.347412,c3,18.76
706,Well32,2901.5,2342.242557,108.96,42.596,201.3362,192.6636,78.6259,2.3121,0.18065,O,G,2.347412,c3,33.55
707,Well32,2921.2,2355.995315,109.95,48.2351,51.2169,57.9184,65.4493,2.3006,0.1928,O,G,0.957275,c3,120.08
710,Well32,2937.5,2367.368616,110.53,42.4141,43.2067,72.9542,87.5158,2.2972,0.17916,O,G,2.223389,c3,59.39
711,Well32,2940.2,2369.263386,110.67,43.7482,93.9551,90.7171,70.584,2.366,0.18072,O,G,0.63623,c3,41.24
713,Well32,2981.3,2398.369408,112.05,54.8136,31.5958,30.1147,60.0868,2.3624,0.16966,O,G,1.206299,c3,3.49
715,Well32,2996.9,2409.631328,112.76,65.0306,30.3776,37.8437,26.1978,2.3704,0.19825,O,G,1.001221,c3,16.7
716,Well33,1839.6,1587.977174,67.18,50.8403,2.6876,2.9721,3.2144,2.2646,0.2638,W,S,1.314697,b1,113.93
717,Well33,1865.5,1608.289739,77.01,52.3648,2.5594,2.7086,3.1718,2.3013,0.28105,W,S,3.228638,b1,119.38
718,Well33,1876.5,1616.925405,77.61,45.7375,10.3677,10.5871,10.1123,2.2295,0.26899,O,S,2.632202,b1,124.5
721,Well33,1936,1663.821007,80.22,53.734,2.2664,2.3427,2.5588,2.2579,0.26978,W,S,5.312988,b1,324.33
725,Well33,2000.1,1714.730824,81.73,55.7565,6.1043,6.0425,5.7511,2.331,0.23586,O?,S,1.69812,b3,145.57
726,Well33,2043.6,1749.370945,82.6,58.121,2.6707,2.8235,3.2105,2.2573,0.27935,W,S,6.194214,b3,288.32
727,Well33,2068,1768.844814,82.85,58.7431,2.3788,2.4519,2.7334,2.2672,0.27791,W,S,1.827515,b4,166.96
728,Well33,2076,1775.245735,83.11,54.2006,2.4379,2.4877,2.8858,2.2621,0.26079,W,S,4.755127,b4,50.45
730,Well33,2098.5,1793.26238,83.9,46.0485,1.648,1.6662,1.9252,2.2238,0.25076,W,S,8.1875,b4,200.75
739,Well34,2265.6,1888.395244,85.46,50.4211,4.8255,5.4466,6.1325,2.4283,0.17415,W,P,2.320435,b4,0.24
741,Well34,2291.7,1913.226396,86.28,55.6017,22.1785,24.6363,25.2104,2.3695,0.18634,O,P,2.029419,b4,30.8
747,Well35,2444.5,2049.049117,87.31,60.1405,23.9441,29.0904,22.5302,2.3561,0.22118,O,I,0.424316,c2,7.7
748,Well35,2476.3,2071.157285,95.15,64.4993,19.061,19.5655,17.7602,2.4195,0.22732,O,I,0.42334,c2,3.32
750,Well35,2503.2,2089.82163,97.12,50.0962,16.8482,18.8253,17.9134,2.3068,0.22348,O,I,1.267578,c2,1.1
751,Well35,2708.8,2232.099622,110.07,35.6296,27.48,32.0986,28.4434,2.223,0.23592,O,I,1.369873,c2,143.97
754,Well35,2950,2401.56053,106.53,55.7498,12.4065,14.9353,15.0147,2.4216,0.18379,O?,I,1.952393,c3,3.22
756,Well35,2950.6,2401.987194,107.88,50.6645,15.1808,17.9543,15.7558,2.421,0.18297,O?,I,1.952393,c3,2.19
757,Well35,2951.4,2402.556081,108.6,42.3256,11.9099,14.2933,13.7785,2.4058,0.17791,O?,I,1.952393,c3,2.67
759,Well35,2988.1,2428.731255,110.47,46.6215,40.0543,44.7584,33.5995,2.4227,0.18842,O,I,3.375,c3,13.45
766,Well36,1761.2,1636.787194,70.47,32.9786,2.1416,2.5001,3.841,2.2075,0.24657,W,K,8.618896,b1,160.23
767,Well36,1835.1,1700.972648,79.34,48.8518,26.2253,25.2049,24.85,2.2188,0.28752,O,S,6.108154,b3,105.43
769,Well36,1959.2,1797.270197,86.57,58.7085,2.1016,2.395,3.4275,2.2316,0.25976,W,S,5.303101,b4,131.68
770,Well36,1979.1,1811.402111,87.02,40.8012,1.9166,2.1179,2.6604,2.1942,0.27876,W,S,7.406738,b4,175.52
771,Well36,2042.7,1855.431554,87.98,34.1824,2.4696,2.3963,2.5006,2.2364,0.22755,W,S,10.692505,b4,114.17
773,Well36,2186.3,1951.939692,91.74,55.1564,15.8029,15.1383,14.348,2.2647,0.23077,O,G,1.610718,c1,348.34
776,Well36,2262.6,2002.256398,95.36,48.9672,20.0599,27.4391,29.8596,2.1275,0.24154,O,G,1.123413,c2,1211.16
778,Well36,2280.8,2014.446301,97.04,51.2594,13.2564,15.9363,19.2466,2.3579,0.20677,O,G,0.924194,c2,21.79
781,Well36,2336.8,2051.522425,97.37,42.3773,5.689,6.4817,7.7343,2.2255,0.2438,W,G,1.87915,c2,327.84
783,Well36,2355,2063.450541,97.63,41.002,8.4542,9.2797,10.5056,2.2999,0.22003,O,G,2.909912,c2,98.02
784,Well36,2356.9,2064.695784,97.73,41.6896,11.3899,11.4925,12.135,2.2432,0.20379,O,G,2.909912,c2,455.08
788,Well36,2494.8,2156.835981,100.07,38.5957,6.9249,7.3296,8.5248,2.2701,0.22389,W,G,1.143799,c2,26.41
793,Well36,2606.7,2233.080134,103.14,38.1085,6.0182,6.644,8.5761,2.3053,0.20205,W,G,2.601074,c2,17.34
795,Well36,2767.1,2342.326426,106.85,42.12,26.8636,29.6324,25.5269,2.3614,0.18005,O,G,0.846436,c3,46.55
796,Well36,2787.3,2356.354519,108.06,49.8851,24.8267,19.9925,18.5042,2.4315,0.17338,O,G,1.27002,c3,3.1
797,Well36,2801.8,2366.423699,109.39,40.6872,55.7325,57.8296,40.2099,2.3514,0.17589,O,G,0.634766,c3,15.03
798,Well36,2827.2,2384.054606,109.96,41.8332,81.553,73.9495,51.8297,2.3244,0.17088,O,G,0.634521,c3,22.65
799,Well36,2858.7,2405.906734,110.35,38.8821,37.1585,43.256,36.3156,2.3446,0.17212,O,G,0.845215,c3,28.09
801,Well36,2910.3,2441.088723,112.01,43.2944,17.4915,19.5033,19.4467,2.4042,0.15492,O,G,0.732422,c3,1.68
802,Well36,2959.8,2474.678046,115.34,36.905,28.1422,34.4339,28.1851,2.3475,0.14844,O,G,1.022217,c3,114.12
803,Well36,3007.9,2507.328175,115.88,32.836,14.3939,15.0559,15.7275,2.3716,0.16109,O,G,2.528809,c3,30.76
805,Well36,3064.2,2547.403694,116.87,43.0938,11.7578,13.4852,16.6544,2.2619,0.20541,O,G,2.207275,c3,13.53
806,Well36,3067.2,2549.570785,117.52,40.6296,10.3546,11.6425,15.3481,2.3917,0.16422,O,G,2.864502,c3,1.41
807,Well36,3069.1,2550.943276,117.78,33.6956,11.3575,13.05,15.8661,2.3842,0.15568,O,G,2.864502,c3,36.96
808,Well36,3092.7,2568.102086,118.49,40.5148,14.5096,15.7519,17.0658,2.436,0.14377,O,G,0.665771,c3,7.48
811,Well36,3184.9,2639.807138,121.1,25.9019,15.2442,16.8009,18.7217,2.4111,0.1119,O?,D,0.623535,c4,2.78
